1, 55957
2, 304784
3, 380014
4, 330887
5, 223499
6, 182564
7, 163991
8, 116780
9, 81155
10, 50910
11, 27716
12, 14456
13, 8378
14, 3482
15, 1354
16, 600
17, 349
18, 148
19, 89
20, 65
21, 32
22, 19
23, 13
24, 26
25, 7
26, 18
27, 4
28, 2
29, 1
30, 1
31, 2
33, 2
34, 2
38, 1
43, 1
59, 2
